industry
小金属
能源金属
互联网电商
文化传媒
旅游及酒店
游戏
通信服务
贵金属
食品加工制造
光伏设备
房地产
电池
服装家纺
金属新材料
影视院线
环保设备
零售
建筑材料
包装印刷
农产品加工
教育
电机
纺织制造
其他社会服务
环境治理
白色家电
钢铁
贸易
养殖业
饮料制造
塑料制品
消费电子
自动化设备
化学原料
其他电子
造纸
软件开发
光学光电子
电网设备
多元金融
建筑装饰
石油加工贸易
专用设备
工业金属
其他电源设备
种植业与林业
煤炭开采加工
家居用品
综合
通用设备
汽车服务及其他
计算机设备
白酒
物流
医疗器械
IT服务
轨交设备
保险
元件
通信设备
美容护理
中药
医药商业
化学纤维
化学制药
农化制品
汽车零部件
电力
汽车整车
黑色家电
化学制品
港口航运
风电设备
军工装备
非金属材料
工程机械
机场航运
橡胶制品
医疗服务
公路铁路运输
燃气
证券
银行
半导体
油气开采及服务
生物制品
厨卫电器
小家电
军工电子
电子化学品
