ts_code,symbol,name,area,industry,list_date,code
000001.SZ,000001,平安银行,深圳,银行,19910403,000001
000002.SZ,000002,万科Ａ,深圳,全国地产,19910129,000002
000004.SZ,000004,*ST国华,深圳,软件服务,19901201,000004
000006.SZ,000006,深振业Ａ,深圳,区域地产,19920427,000006
000007.SZ,000007,全新好,深圳,其他商业,19920413,000007
000008.SZ,000008,神州高铁,北京,运输设备,19920507,000008
000009.SZ,000009,中国宝安,深圳,电气设备,19910625,000009
000010.SZ,000010,美丽生态,深圳,建筑工程,19951027,000010
000011.SZ,000011,深物业A,深圳,房产服务,19920330,000011
000012.SZ,000012,南玻Ａ,深圳,玻璃,19920228,000012
000014.SZ,000014,沙河股份,深圳,全国地产,19920602,000014
000016.SZ,000016,深康佳Ａ,深圳,家用电器,19920327,000016
000017.SZ,000017,深中华A,深圳,服饰,19920331,000017
000019.SZ,000019,深粮控股,深圳,农业综合,19921012,000019
000020.SZ,000020,深华发Ａ,深圳,元器件,19920428,000020
000021.SZ,000021,深科技,深圳,元器件,19940202,000021
001872.SZ,001872,招商港口,深圳,港口,19930505,001872
000025.SZ,000025,特力Ａ,深圳,综合类,19930621,000025
000026.SZ,000026,飞亚达,深圳,服饰,19930603,000026
000027.SZ,000027,深圳能源,深圳,火力发电,19930903,000027
000028.SZ,000028,国药一致,深圳,医药商业,19930809,000028
000029.SZ,000029,深深房Ａ,深圳,区域地产,19930915,000029
000030.SZ,000030,富奥股份,吉林,汽车配件,19930929,000030
000031.SZ,000031,大悦城,深圳,全国地产,19931008,000031
000032.SZ,000032,深桑达Ａ,深圳,建筑工程,19931028,000032
000034.SZ,000034,神州数码,深圳,软件服务,19940509,000034
000035.SZ,000035,中国天楹,江苏,环境保护,19940408,000035
000036.SZ,000036,华联控股,深圳,全国地产,19940617,000036
000037.SZ,000037,深南电A,深圳,火力发电,19940701,000037
000039.SZ,000039,中集集团,深圳,运输设备,19940408,000039
000042.SZ,000042,中洲控股,深圳,全国地产,19940921,000042
001914.SZ,001914,招商积余,深圳,房产服务,19940928,001914
000045.SZ,000045,深纺织Ａ,深圳,元器件,19940815,000045
000048.SZ,000048,京基智农,深圳,农业综合,19941101,000048
000049.SZ,000049,德赛电池,深圳,电气设备,19950320,000049
000050.SZ,000050,深天马Ａ,深圳,元器件,19950315,000050
000055.SZ,000055,方大集团,深圳,其他建材,19960415,000055
000056.SZ,000056,皇庭国际,深圳,其他商业,19960708,000056
000058.SZ,000058,深赛格,深圳,商品城,19961226,000058
000059.SZ,000059,华锦股份,辽宁,石油加工,19970130,000059
000060.SZ,000060,中金岭南,深圳,铅锌,19970123,000060
000061.SZ,000061,农产品,深圳,农业综合,19970110,000061
000062.SZ,000062,深圳华强,深圳,元器件,19970130,000062
000063.SZ,000063,中兴通讯,深圳,通信设备,19971118,000063
000065.SZ,000065,北方国际,北京,建筑工程,19980605,000065
000066.SZ,000066,中国长城,深圳,IT设备,19970626,000066
000068.SZ,000068,华控赛格,深圳,环境保护,19970611,000068
000069.SZ,000069,华侨城Ａ,深圳,全国地产,19970910,000069
000070.SZ,000070,特发信息,深圳,通信设备,20000511,000070
000078.SZ,000078,海王生物,深圳,医药商业,19981218,000078
000088.SZ,000088,盐田港,深圳,港口,19970728,000088
000089.SZ,000089,深圳机场,深圳,机场,19980420,000089
000090.SZ,000090,天健集团,深圳,建筑工程,19990721,000090
000096.SZ,000096,广聚能源,深圳,石油贸易,20000724,000096
000099.SZ,000099,中信海直,深圳,空运,20000731,000099
000100.SZ,000100,TCL科技,广东,元器件,20040130,000100
000151.SZ,000151,中成股份,北京,商贸代理,20000906,000151
000153.SZ,000153,丰原药业,安徽,化学制药,20000920,000153
000155.SZ,000155,川能动力,四川,新型电力,20000926,000155
000156.SZ,000156,华数传媒,浙江,影视音像,20000906,000156
000157.SZ,000157,中联重科,湖南,工程机械,20001012,000157
000158.SZ,000158,常山北明,河北,软件服务,20000724,000158
000159.SZ,000159,国际实业,新疆,石油贸易,20000926,000159
000301.SZ,000301,东方盛虹,江苏,化纤,20000529,000301
000400.SZ,000400,许继电气,河南,电气设备,19970418,000400
000401.SZ,000401,金隅冀东,河北,水泥,19960614,000401
000402.SZ,000402,金融街,北京,全国地产,19960626,000402
000403.SZ,000403,派林生物,山西,生物制药,19960628,000403
000404.SZ,000404,长虹华意,江西,家用电器,19960619,000404
000407.SZ,000407,胜利股份,山东,供气供热,19960703,000407
000408.SZ,000408,藏格矿业,青海,农药化肥,19960628,000408
000409.SZ,000409,云鼎科技,山东,软件服务,19960627,000409
000410.SZ,000410,沈阳机床,辽宁,机床制造,19960718,000410
000411.SZ,000411,英特集团,浙江,医药商业,19960716,000411
000415.SZ,000415,渤海租赁,新疆,多元金融,19960716,000415
000417.SZ,000417,合百集团,安徽,百货,19960812,000417
000419.SZ,000419,通程控股,湖南,百货,19960816,000419
000420.SZ,000420,吉林化纤,吉林,化纤,19960802,000420
000421.SZ,000421,南京公用,江苏,供气供热,19960806,000421
000422.SZ,000422,湖北宜化,湖北,农药化肥,19960815,000422
000423.SZ,000423,东阿阿胶,山东,中成药,19960729,000423
000425.SZ,000425,徐工机械,江苏,工程机械,19960828,000425
000426.SZ,000426,兴业银锡,内蒙,铅锌,19960828,000426
000428.SZ,000428,华天酒店,湖南,酒店餐饮,19960808,000428
000429.SZ,000429,粤高速Ａ,广东,路桥,19980220,000429
000430.SZ,000430,ST张家界,湖南,旅游景点,19960829,000430
000488.SZ,000488,ST晨鸣,山东,造纸,20001120,000488
000498.SZ,000498,山东路桥,山东,建筑工程,19970609,000498
000501.SZ,000501,武商集团,湖北,百货,19921120,000501
000503.SZ,000503,国新健康,山东,软件服务,19921130,000503
000504.SZ,000504,*ST生物,湖南,医疗保健,19921208,000504
000505.SZ,000505,京粮控股,海南,食品,19921221,000505
000506.SZ,000506,招金黄金,山东,黄金,19930312,000506
000507.SZ,000507,珠海港,广东,新型电力,19930326,000507
000509.SZ,000509,华塑控股,四川,元器件,19930507,000509
000510.SZ,000510,新金路,四川,化工原料,19930507,000510
000513.SZ,000513,丽珠集团,广东,化学制药,19931028,000513
000514.SZ,000514,渝开发,重庆,区域地产,19930712,000514
000516.SZ,000516,国际医学,陕西,医疗保健,19930809,000516
000517.SZ,000517,荣安地产,浙江,区域地产,19930806,000517
000518.SZ,000518,*ST四环,江苏,生物制药,19930908,000518
000519.SZ,000519,中兵红箭,河南,专用机械,19931008,000519
000520.SZ,000520,凤凰航运,湖北,水运,19931025,000520
000521.SZ,000521,长虹美菱,安徽,家用电器,19931018,000521
000523.SZ,000523,红棉股份,广东,食品,19931108,000523
000524.SZ,000524,岭南控股,广东,旅游服务,19931118,000524
000525.SZ,000525,红太阳,江苏,农药化肥,19931028,000525
000526.SZ,000526,学大教育,福建,文教休闲,19931101,000526
000528.SZ,000528,柳工,广西,工程机械,19931118,000528
000529.SZ,000529,广弘控股,广东,食品,19931118,000529
000530.SZ,000530,冰山冷热,辽宁,机械基件,19931208,000530
000531.SZ,000531,穗恒运Ａ,广东,火力发电,19940106,000531
000532.SZ,000532,华金资本,广东,多元金融,19940103,000532
000533.SZ,000533,顺钠股份,广东,电气设备,19940103,000533
000534.SZ,000534,万泽股份,广东,生物制药,19940110,000534
000536.SZ,000536,华映科技,福建,元器件,19931126,000536
000537.SZ,000537,绿发电力,天津,新型电力,19931210,000537
000538.SZ,000538,云南白药,云南,中成药,19931215,000538
000539.SZ,000539,粤电力Ａ,广东,火力发电,19931126,000539
000541.SZ,000541,佛山照明,广东,家用电器,19931123,000541
000543.SZ,000543,皖能电力,安徽,火力发电,19931220,000543
000544.SZ,000544,中原环保,河南,环境保护,19931208,000544
000545.SZ,000545,金浦钛业,吉林,化工原料,19931215,000545
000546.SZ,000546,金圆股份,吉林,环境保护,19931215,000546
000547.SZ,000547,航天发展,福建,通信设备,19931130,000547
000548.SZ,000548,湖南投资,湖南,路桥,19931220,000548
000550.SZ,000550,江铃汽车,江西,汽车整车,19931201,000550
000551.SZ,000551,创元科技,江苏,专用机械,19940106,000551
000552.SZ,000552,甘肃能化,甘肃,煤炭开采,19940106,000552
000553.SZ,000553,安道麦A,湖北,农药化肥,19931203,000553
000554.SZ,000554,泰山石油,山东,石油贸易,19931215,000554
000555.SZ,000555,神州信息,深圳,软件服务,19940408,000555
000557.SZ,000557,西部创业,宁夏,铁路,19940617,000557
000558.SZ,000558,天府文旅,四川,旅游景点,19940509,000558
000559.SZ,000559,万向钱潮,浙江,汽车配件,19940110,000559
000560.SZ,000560,我爱我家,云南,房产服务,19940202,000560
000561.SZ,000561,烽火电子,陕西,通信设备,19940509,000561
000563.SZ,000563,陕国投Ａ,陕西,多元金融,19940110,000563
000564.SZ,000564,供销大集,陕西,百货,19940110,000564
000565.SZ,000565,渝三峡Ａ,重庆,染料涂料,19940408,000565
000566.SZ,000566,海南海药,海南,化学制药,19940525,000566
000567.SZ,000567,海德股份,海南,多元金融,19940525,000567
000568.SZ,000568,泸州老窖,四川,白酒,19940509,000568
000570.SZ,000570,苏常柴Ａ,江苏,农用机械,19940701,000570
000571.SZ,000571,新大洲A,海南,煤炭开采,19940525,000571
000572.SZ,000572,海马汽车,海南,汽车整车,19940808,000572
000573.SZ,000573,粤宏远Ａ,广东,区域地产,19940815,000573
000576.SZ,000576,甘化科工,广东,电气设备,19940907,000576
000581.SZ,000581,威孚高科,江苏,汽车配件,19980924,000581
000582.SZ,000582,北部湾港,广西,港口,19951102,000582
000586.SZ,000586,汇源通信,四川,通信设备,19951220,000586
000589.SZ,000589,贵州轮胎,贵州,汽车配件,19960308,000589
000590.SZ,000590,古汉医药,湖南,中成药,19960119,000590
000591.SZ,000591,太阳能,重庆,新型电力,19960208,000591
000592.SZ,000592,平潭发展,福建,林业,19960327,000592
000593.SZ,000593,德龙汇能,四川,供气供热,19960312,000593
000595.SZ,000595,*ST宝实,宁夏,新型电力,19960419,000595
000596.SZ,000596,古井贡酒,安徽,白酒,19960927,000596
000597.SZ,000597,东北制药,辽宁,化学制药,19960523,000597
000598.SZ,000598,兴蓉环境,四川,水务,19960529,000598
000599.SZ,000599,青岛双星,山东,汽车配件,19960430,000599
000600.SZ,000600,建投能源,河北,火力发电,19960606,000600
000601.SZ,000601,韶能股份,广东,水力发电,19960830,000601
000603.SZ,000603,盛达资源,北京,铅锌,19960823,000603
000605.SZ,000605,渤海股份,北京,水务,19960913,000605
000607.SZ,000607,华媒控股,浙江,广告包装,19960830,000607
000608.SZ,000608,*ST阳光,广西,区域地产,19960919,000608
000609.SZ,000609,*ST中迪,北京,区域地产,19961010,000609
000610.SZ,000610,西安旅游,陕西,旅游服务,19960926,000610
000612.SZ,000612,焦作万方,河南,铝,19960926,000612
000615.SZ,000615,*ST美谷,湖北,医疗保健,19961016,000615
000617.SZ,000617,中油资本,新疆,多元金融,19961022,000617
000619.SZ,000619,海螺新材,安徽,其他建材,19961023,000619
000620.SZ,000620,盈新发展,北京,全国地产,19961029,000620
000623.SZ,000623,吉林敖东,吉林,中成药,19961028,000623
000625.SZ,000625,长安汽车,重庆,汽车整车,19970610,000625
000626.SZ,000626,远大控股,江苏,商贸代理,19961128,000626
000628.SZ,000628,高新发展,四川,建筑工程,19961118,000628
000629.SZ,000629,钒钛股份,四川,小金属,19961115,000629
000630.SZ,000630,铜陵有色,安徽,铜,19961120,000630
000631.SZ,000631,顺发恒能,浙江,综合类,19961122,000631
000632.SZ,000632,三木集团,福建,综合类,19961121,000632
000633.SZ,000633,合金投资,新疆,小金属,19961112,000633
000635.SZ,000635,英力特,宁夏,化工原料,19961120,000635
000636.SZ,000636,风华高科,广东,元器件,19961129,000636
000637.SZ,000637,茂化实华,广东,石油加工,19961114,000637
000638.SZ,000638,*ST万方,吉林,农业综合,19961126,000638
000639.SZ,000639,西王食品,山东,食品,19961126,000639
000650.SZ,000650,仁和药业,江西,中成药,19961210,000650
000651.SZ,000651,格力电器,广东,家用电器,19961118,000651
